,SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,LEA_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,MSTREET1,MSTREET2,MSTREET3,MCITY,MSTATE,MZIP,MZIP4,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,LZIP,LZIP4,PHONE,WEBSITE,SY_STATUS,SY_STATUS_TEXT,UPDATED_STATUS,UPDATED_STATUS_TEXT,EFFECTIVE_DATE,SCH_TYPE,SCH_TYPE_TEXT,RECON_STATUS,OUT_OF_STATE_FLAG,CHARTER_TEXT,CHARTAUTH1,CHARTAUTHN1,CHARTAUTH2,CHARTAUTHN2,NOGRADES,G_PK_OFFERED,G_KG_OFFERED,G_1_OFFERED,G_2_OFFERED,G_3_OFFERED,G_4_OFFERED,G_5_OFFERED,G_6_OFFERED,G_7_OFFERED,G_8_OFFERED,G_9_OFFERED,G_10_OFFERED,G_11_OFFERED,G_12_OFFERED,G_13_OFFERED,G_UG_OFFERED,G_AE_OFFERED,GSLO,GSHI,LEVEL,IGOFFERED,address,block,city,coordinates,county_fips,geocoded_address,id,is_exact,is_match,latitude,longitude,returned_address,side,state,state_fips,tiger_line,tract,zipcode
934,2017-2018,42,PENNSYLVANIA,PA,Inglewood El Sch,North Penn SD,1,,PA-123465702,4217280,PA-123465702-3379,421728003379,4203379,1313 Allentown Road,,,Lansdale,PA,19446,4199.0,1313 Allentown Road,,,Lansdale,PA,19446,4199.0,(215)368-2992,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,KG,06,Elementary,As reported,1313 Allentown Road,,Lansdale,,,"1313 Allentown Road, Lansdale, PA, 19446",934,,No_Match,,,,,PA,,,,19446
935,2017-2018,42,PENNSYLVANIA,PA,Gwyn-Nor El Sch,North Penn SD,1,,PA-123465702,4217280,PA-123465702-4831,421728004831,4204831,139 Hancock Road,,,North Wales,PA,19454,2299.0,139 Hancock Road,,,North Wales,PA,19454,2299.0,(215)368-7105,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,KG,06,Elementary,As reported,139 Hancock Road,,North Wales,,,"139 Hancock Road, North Wales, PA, 19454",935,,Tie,,,,,PA,,,,19454
936,2017-2018,42,PENNSYLVANIA,PA,Hatfield El Sch,North Penn SD,1,,PA-123465702,4217280,PA-123465702-5344,421728005344,4205344,1701 Fairgrounds Road,,,Hatfield,PA,19440,2827.0,1701 Fairgrounds Road,,,Hatfield,PA,19440,2827.0,(215)368-1585,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,KG,06,Elementary,As reported,1701 Fairgrounds Road,2013,Hatfield,"-75.3092,40.280388",091,"1701 Fairgrounds Road, Hatfield, PA, 19440",936,Exact,Match,40.280388,-75.3092,"1701 FAIRGROUNDS RD, HATFIELD, PA, 19440",R,PA,42,135132059,200708,19440
937,2017-2018,42,PENNSYLVANIA,PA,General Nash El Sch,North Penn SD,1,,PA-123465702,4217280,PA-123465702-6907,421728006907,4206907,1560 Liberty Bell Dr,,,Harleysville,PA,19438,3099.0,1560 Liberty Bell Dr,,,Harleysville,PA,19438,3099.0,(215)368-2407,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,KG,06,Elementary,As reported,1560 Liberty Bell Dr,1024,Harleysville,"-75.34648,40.235912",091,"1560 Liberty Bell Dr, Harleysville, PA, 19438",937,Exact,Match,40.235912,-75.34648,"1560 LIBERTY BELL DR, HARLEYSVILLE, PA, 19438",L,PA,42,135073699,206905,19438
938,2017-2018,42,PENNSYLVANIA,PA,Montgomery El Sch,North Penn SD,1,,PA-123465702,4217280,PA-123465702-4830,421728007173,4207173,1221 Stump Rd,,,North Wales,PA,19454,5100.0,1221 Stump Rd,,,North Wales,PA,19454,5100.0,(215)368-6614,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,KG,06,Elementary,As reported,1221 Stump Rd,2014,North Wales,"-75.21363,40.24608",091,"1221 Stump Rd, North Wales, PA, 19454",938,Exact,Match,40.24608,-75.21363,"1221 STUMP RD, NORTH WALES, PA, 19454",L,PA,42,135107574,200607,19454
939,2017-2018,42,PENNSYLVANIA,PA,Gwynedd Square El Sch,North Penn SD,1,,PA-123465702,4217280,PA-123465702-7314,421728010006,4210006,1641 Supplee Rd,,,Lansdale,PA,19446,5466.0,1641 Supplee Rd,,,Lansdale,PA,19446,5466.0,(215)855-4331,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,KG,06,Elementary,As reported,1641 Supplee Rd,1007,Lansdale,"-75.31197,40.222626",091,"1641 Supplee Rd, Lansdale, PA, 19446",939,Exact,Match,40.222626,-75.31197,"1641 SUPPLEE RD, LANSDALE, PA, 19446",L,PA,42,135074645,201005,19446
940,2017-2018,42,PENNSYLVANIA,PA,Moscow El Sch,North Pocono SD,1,,PA-119356503,4217310,PA-119356503-8098,421731000128,4200128,851 Church St,,,Moscow,PA,18444,9345.0,851 Church St,,,Moscow,PA,18444,9345.0,(570)842-8464,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,KG,03,Elementary,As reported,851 Church St,,Moscow,,,"851 Church St, Moscow, PA, 18444",940,,No_Match,,,,,PA,,,,18444
941,2017-2018,42,PENNSYLVANIA,PA,Jefferson El Sch,North Pocono SD,1,,PA-119356503,4217310,PA-119356503-8097,421731002444,4202444,825 Lions Rd,,,Lake Ariel,PA,18436,9039.0,825 Lions Rd,,,Lake Ariel,PA,18436,9039.0,(570)689-2656,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,KG,03,Elementary,As reported,825 Lions Rd,1044,Lake Ariel,"-75.502304,41.413742",069,"825 Lions Rd, Lake Ariel, PA, 18436",941,Exact,Match,41.413742,-75.502304,"825 LIONS RD, LAKE ARIEL, PA, 18436",R,PA,42,139345436,111800,18436
942,2017-2018,42,PENNSYLVANIA,PA,North Pocono Intmd Sch,North Pocono SD,1,,PA-119356503,4217310,PA-119356503-8099,421731007314,4207314,701 Church St,,,Moscow,PA,18444,9391.0,701 Church St,,,Moscow,PA,18444,9391.0,(570)842-7676,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,04,05,Elementary,As reported,701 Church St,,Moscow,,,"701 Church St, Moscow, PA, 18444",942,,No_Match,,,,,PA,,,,18444
943,2017-2018,42,PENNSYLVANIA,PA,Colonel John Siegfried El Sch,Northampton Area SD,1,,PA-120484903,4217370,PA-120484903-7430,421737000166,4200166,1677 Lincoln Ave,,,Northampton,PA,18067,1540.0,1677 Lincoln Ave,,,Northampton,PA,18067,1540.0,(610)262-6430,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,1677 Lincoln Ave,3014,Northampton,"-75.49404,40.686356",095,"1677 Lincoln Ave, Northampton, PA, 18067",943,Exact,Match,40.686356,-75.49404,"1677 LINCOLN AVE, NORTHAMPTON, PA, 18067",R,PA,42,136873885,016201,18067
944,2017-2018,42,PENNSYLVANIA,PA,Lehigh El Sch,Northampton Area SD,1,,PA-120484903,4217370,PA-120484903-3499,421737003499,4203499,800 Blue Mountain Dr,,,Walnutport,PA,18088,9741.0,800 Blue Mountain Dr,,,Walnutport,PA,18088,9741.0,(610)767-1192,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,800 Blue Mountain Dr,3018,Walnutport,"-75.535255,40.76443",095,"800 Blue Mountain Dr, Walnutport, PA, 18088",944,Exact,Match,40.76443,-75.535255,"800 BLUE MOUNTAIN DR, WALNUTPORT, PA, 18088",R,PA,42,136867153,016001,18088
945,2017-2018,42,PENNSYLVANIA,PA,Moore El Sch,Northampton Area SD,1,,PA-120484903,4217370,PA-120484903-3500,421737003500,4203500,2835 Mountain View Dr,,,Bath,PA,18014,9333.0,2835 Mountain View Dr,,,Bath,PA,18014,9333.0,(610)837-1859,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,2835 Mountain View Dr,2001,Bath,"-75.43296,40.778603",095,"2835 Mountain View Dr, Bath, PA, 18014",945,Exact,Match,40.778603,-75.43296,"2835 MOUNTAIN VIEW DR, BATH, PA, 18014",L,PA,42,136898528,015902,18014
946,2017-2018,42,PENNSYLVANIA,PA,George Wolf El Sch,Northampton Area SD,1,,PA-120484903,4217370,PA-120484903-5062,421737005062,4205062,300 Allen Street,,,Bath,PA,18014,,300 Allen Street,,,Bath,PA,18014,,(610)837-1833,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,05,Elementary,As reported,300 Allen Street,2031,Bath,"-75.391785,40.722363",095,"300 Allen Street, Bath, PA, 18014",946,Exact,Match,40.722363,-75.391785,"300 ALLEN ST, BATH, PA, 18014",L,PA,42,642654972,016600,18014
947,2017-2018,42,PENNSYLVANIA,PA,Riverside El Sch,Riverside Beaver County SD,1,,PA-127045853,4217430,PA-127045853-8189,421743007423,4207423,302 Country Club Drive,,,Ellwood City,PA,16117,4910.0,302 Country Club Drive,,,Ellwood City,PA,16117,4910.0,(724)758-7512,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,05,Elementary,As reported,302 Country Club Drive,3010,Ellwood City,"-80.2579,40.832977",007,"302 Country Club Drive, Ellwood City, PA, 16117",947,Exact,Match,40.832977,-80.2579,"302 COUNTRY CLUB DR, ELLWOOD CITY, PA, 16117",R,PA,42,52563944,605800,16117
948,2017-2018,42,PENNSYLVANIA,PA,Northeast Bradford El Sch,Northeast Bradford SD,1,,PA-117083004,4217460,PA-117083004-5209,421746005209,4205209,210 Panther Lane,,,Rome,PA,18837,9505.0,210 Panther Lane,,,Rome,PA,18837,9505.0,(570)744-2521,http://www.neb.k12.pa.us,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,KG,06,Elementary,As reported,210 Panther Lane,,Rome,,,"210 Panther Lane, Rome, PA, 18837",948,,No_Match,,,,,PA,,,,18837
949,2017-2018,42,PENNSYLVANIA,PA,Mt Wolf El Sch,Northeastern York SD,1,,PA-112674403,4217520,PA-112674403-7375,421752000067,4200067,590 Maple Street,PO Box 1013,,Mt Wolf,PA,17347,,590 Maple Street,,,Mt Wolf,PA,17347,,(717)266-6570,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,KG,03,Elementary,As reported,590 Maple Street,,Mt Wolf,,,"590 Maple Street, Mt Wolf, PA, 17347",949,,No_Match,,,,,PA,,,,17347
950,2017-2018,42,PENNSYLVANIA,PA,Spring Forge Intrd Sch,Northeastern York SD,1,,PA-112674403,4217520,PA-112674403-7644,421752000525,4200525,100 South Hartman Street,,,Manchester,PA,17345,,100 South Hartman Street,,,Manchester,PA,17345,,(717)266-9833,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,04,06,Elementary,As reported,100 South Hartman Street,5010,Manchester,"-76.71495,40.06153",133,"100 South Hartman Street, Manchester, PA, 17345",950,Exact,Match,40.06153,-76.71495,"100 S HARTMAN ST, MANCHESTER, PA, 17345",R,PA,42,88755082,021020,17345
951,2017-2018,42,PENNSYLVANIA,PA,Conewago El Sch,Northeastern York SD,1,,PA-112674403,4217520,PA-112674403-4572,421752004572,4204572,570 Copenhaffer Rd,,,York,PA,17404,8388.0,570 Copenhaffer Rd,,,York,PA,17404,8388.0,(717)266-1644,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,KG,03,Elementary,As reported,570 Copenhaffer Rd,5028,York,"-76.78253,40.063335",133,"570 Copenhaffer Rd, York, PA, 17404",951,Exact,Match,40.063335,-76.78253,"570 COPENHAFFER RD, YORK, PA, 17404",R,PA,42,624611273,020800,17404
952,2017-2018,42,PENNSYLVANIA,PA,Orendorf El Sch,Northeastern York SD,1,,PA-112674403,4217520,PA-112674403-5272,421752005272,4205272,101 South Hartman Street,,,Manchester,PA,17345,,101 South Hartman Street,,,Manchester,PA,17345,,(717)266-5621,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,KG,03,Elementary,As reported,101 South Hartman Street,5013,Manchester,"-76.714935,40.061535",133,"101 South Hartman Street, Manchester, PA, 17345",952,Exact,Match,40.061535,-76.714935,"101 S HARTMAN ST, MANCHESTER, PA, 17345",L,PA,42,88755082,021020,17345
953,2017-2018,42,PENNSYLVANIA,PA,Shallow Brook Inter Sch,Northeastern York SD,1,,PA-112674403,4217520,PA-112674403-7962,421752006121,4206121,213 S Hartman St,,,Manchester,PA,17345,,213 S Hartman St,,,Manchester,PA,17345,,(717)266-7030,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,04,06,Elementary,As reported,213 S Hartman St,5007,Manchester,"-76.71474,40.060932",133,"213 S Hartman St, Manchester, PA, 17345",953,Exact,Match,40.060932,-76.71474,"213 S HARTMAN ST, MANCHESTER, PA, 17345",L,PA,42,88755083,021020,17345
954,2017-2018,42,PENNSYLVANIA,PA,York Haven El Sch,Northeastern York SD,1,,PA-112674403,4217520,PA-112674403-4576,421752009988,4209988,360 Cassel Rd,PO Box 5,,York Haven,PA,17370,5.0,360 Cassel Rd,,,York Haven,PA,17370,5.0,(717)266-5007,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,KG,03,Elementary,As reported,360 Cassel Rd,,York Haven,,,"360 Cassel Rd, York Haven, PA, 17370",954,,No_Match,,,,,PA,,,,17370
955,2017-2018,42,PENNSYLVANIA,PA,Northern Bedford Co El Sch,Northern Bedford County SD,1,,PA-108056004,4217580,PA-108056004-7167,421758007220,4207220,217 NBC Dr,,,Loysburg,PA,16659,9552.0,217 NBC Dr,,,Loysburg,PA,16659,9552.0,(814)766-2221,http://www.nbcsd.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,05,Elementary,As reported,217 NBC Dr,,Loysburg,,,"217 NBC Dr, Loysburg, PA, 16659",955,,No_Match,,,,,PA,,,,16659
956,2017-2018,42,PENNSYLVANIA,PA,Northern Cambria El Sch,Northern Cambria SD,1,,PA-108114503,4217610,PA-108114503-6859,421761006859,4206859,601 Joseph St,,,Northern Cambria,PA,15714,1232.0,601 Joseph St,,,Northern Cambria,PA,15714,1232.0,(814)948-5880,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,PK,04,Elementary,As reported,601 Joseph St,3024,Northern Cambria,"-78.7878,40.656105",021,"601 Joseph St, Northern Cambria, PA, 15714",956,Exact,Match,40.656105,-78.7878,"601 JOSEPH ST, NORTHERN CAMBRIA, PA, 15714",L,PA,42,50254237,011900,15714
957,2017-2018,42,PENNSYLVANIA,PA,Fredericksburg El Sch,Northern Lebanon SD,1,,PA-113385003,4217640,PA-113385003-2755,421764002755,4202755,119 E Walnut St,PO Box 27,,Fredericksburg,PA,17026,27.0,119 E Walnut St,,,Fredericksburg,PA,17026,27.0,(717)865-4107,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,01,05,Elementary,As reported,119 E Walnut St,,Fredericksburg,,,"119 E Walnut St, Fredericksburg, PA, 17026",957,,No_Match,,,,,PA,,,,17026
958,2017-2018,42,PENNSYLVANIA,PA,Lickdale El Sch,Northern Lebanon SD,1,,PA-113385003,4217640,PA-113385003-2756,421764002756,4202756,40 Fisher Avenue,,,Jonestown,PA,17038,9605.0,40 Fisher Avenue,,,Jonestown,PA,17038,9605.0,(717)865-4012,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,01,05,Elementary,As reported,40 Fisher Avenue,2134,Jonestown,"-76.516106,40.45044",075,"40 Fisher Avenue, Jonestown, PA, 17038",958,Exact,Match,40.45044,-76.516106,"40 FISHER AVE, JONESTOWN, PA, 17038",R,PA,42,611341344,002000,17038
959,2017-2018,42,PENNSYLVANIA,PA,Jonestown El Sch,Northern Lebanon SD,1,,PA-113385003,4217640,PA-113385003-2757,421764002757,4202757,135 South King St,PO Box 839,,Jonestown,PA,17038,839.0,135 South King St,,,Jonestown,PA,17038,839.0,(717)865-3193,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,135 South King St,1115,Jonestown,"-76.4769,40.41585",075,"135 South King St, Jonestown, PA, 17038",959,Non_Exact,Match,40.41585,-76.4769,"135 N KING ST, JONESTOWN, PA, 17038",L,PA,42,80694735,002200,17038
960,2017-2018,42,PENNSYLVANIA,PA,East Hanover El Sch,Northern Lebanon SD,1,,PA-113385003,4217640,PA-113385003-2758,421764002758,4202758,1098 School House Road,,,Annville,PA,17003,8523.0,1098 School House Road,,,East Hanover,PA,17003,8523.0,(717)865-3595,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,01,05,Elementary,As reported,1098 School House Road,1045,East Hanover,"-76.57847,40.394527",075,"1098 School House Road, East Hanover, PA, 17003",960,Non_Exact,Match,40.394527,-76.57847,"1098 SCHOOL HOUSE RD, ANNVILLE, PA, 17003",R,PA,42,80666656,002300,17003
961,2017-2018,42,PENNSYLVANIA,PA,Peters El Sch,Northern Lehigh SD,1,,PA-121394503,4217670,PA-121394503-2813,421767002813,4202813,4055 Friedens Rd,,,Slatington,PA,18080,3810.0,4055 Friedens Rd,,,Slatington,PA,18080,3810.0,(610)767-9827,http://www.nlsd.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,KG,02,Elementary,As reported,4055 Friedens Rd,4002,Slatington,"-75.639,40.721928",077,"4055 Friedens Rd, Slatington, PA, 18080",961,Exact,Match,40.721928,-75.639,"4055 FRIEDENS RD, SLATINGTON, PA, 18080",L,PA,42,80798536,005200,18080
962,2017-2018,42,PENNSYLVANIA,PA,Slatington El Sch,Northern Lehigh SD,1,,PA-121394503,4217670,PA-121394503-6727,421767006727,4206727,1201 Shadow Oaks Ln,,,Slatington,PA,18080,1237.0,1201 Shadow Oaks Ln,,,Slatington,PA,18080,1237.0,(610)767-9821,http://www.nlsd.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,03,06,Elementary,As reported,1201 Shadow Oaks Ln,1013,Slatington,"-75.61437,40.765347",077,"1201 Shadow Oaks Ln, Slatington, PA, 18080",962,Exact,Match,40.765347,-75.61437,"1201 SHADOW OAKS LN, SLATINGTON, PA, 18080",L,PA,42,80798448,005100,18080
963,2017-2018,42,PENNSYLVANIA,PA,Northern Potter Childrens Sch,Northern Potter SD,1,,PA-109535504,4217700,PA-109535504-6931,421770006931,4206931,745 Northern Potter Road,,,Ulysses,PA,16948,9570.0,745 Northern Potter Road,,,Ulysses,PA,16948,9570.0,(814)848-7563,http://www.northernpottersd.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported,745 Northern Potter Road,2083,Ulysses,"-77.737076,41.92311",105,"745 Northern Potter Road, Ulysses, PA, 16948",963,Exact,Match,41.92311,-77.737076,"745 NORTHERN POTTER RD, ULYSSES, PA, 16948",L,PA,42,126356688,950100,16948
964,2017-2018,42,PENNSYLVANIA,PA,Clark Wood El Sch,Northern Tioga SD,1,,PA-117596003,4217730,PA-117596003-6371,421773006371,4206371,110A Ellison Road,,,Elkland,PA,16920,,110A Ellison Road,,,Elkland,PA,16920,,(814)258-5131,http://www.ntiogasd.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported,110A Ellison Road,2009,Elkland,"-77.302795,41.99559",117,"110A Ellison Road, Elkland, PA, 16920",964,Exact,Match,41.99559,-77.302795,"110 ELLISON RD, ELKLAND, PA, 16920",L,PA,42,189677424,950200,16920
965,2017-2018,42,PENNSYLVANIA,PA,Westfield Area El Sch,Northern Tioga SD,1,,PA-117596003,4217730,PA-117596003-4057,421773007289,4207289,1355 Route 49,,,Westfield,PA,16950,,1355 Route 49,,,Westfield,PA,16950,,(814)367-2712,http://www.ntiogasd.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported,1355 Route 49,,Westfield,,,"1355 Route 49, Westfield, PA, 16950",965,,No_Match,,,,,PA,,,,16950
966,2017-2018,42,PENNSYLVANIA,PA,Russell B Walter El Sch,Northern Tioga SD,1,,PA-117596003,4217730,PA-117596003-4060,421773007291,4207291,65 Jct Cross Road,,,Tioga,PA,16946,,65 Jct Cross Road,,,Tioga,PA,16946,,(570)827-2171,http://www.ntiogasd.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported,65 Jct Cross Road,3076,Tioga,"-77.10886,41.957783",117,"65 Jct Cross Road, Tioga, PA, 16946",966,Exact,Match,41.957783,-77.10886,"65 JCT CROSS RD, TIOGA, PA, 16946",L,PA,42,189657569,950100,16946
967,2017-2018,42,PENNSYLVANIA,PA,South Mountain El Sch,Northern York County SD,1,,PA-115674603,4217760,PA-115674603-7572,421776000459,4200459,711 South Mountain Road,,,Dillsburg,PA,17019,8720.0,711 South Mountain Road,,,Dillsburg,PA,17019,8720.0,(717)432-8691,http://www.northernpolarbears.com,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,711 South Mountain Road,2002,Dillsburg,"-77.06024,40.096523",133,"711 South Mountain Road, Dillsburg, PA, 17019",967,Exact,Match,40.096523,-77.06024,"711 S MOUNTAIN RD, DILLSBURG, PA, 17019",R,PA,42,88717925,020410,17019
968,2017-2018,42,PENNSYLVANIA,PA,Dillsburg El Sch,Northern York County SD,1,,PA-115674603,4217760,PA-115674603-4579,421776004579,4204579,202 S Chestnut St,,,Dillsburg,PA,17019,1017.0,202 S Chestnut St,,,Dillsburg,PA,17019,1017.0,(717)432-8691,http://www.northernpolarbears.com,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,202 S Chestnut St,4018,Dillsburg,"-77.03247,40.108803",133,"202 S Chestnut St, Dillsburg, PA, 17019",968,Exact,Match,40.108803,-77.03247,"202 S CHESTNUT ST, DILLSBURG, PA, 17019",L,PA,42,647598148,020420,17019
969,2017-2018,42,PENNSYLVANIA,PA,Wellsville Campus,Northern York County SD,1,,PA-115674603,4217760,PA-115674603-4580,421776004580,4204580,1060 Zeigler Road,,,Wellsville,PA,17365,9764.0,1060 Zeigler Road,,,Wellsville,PA,17365,9764.0,(717)432-8691,http://www.northernpolarbears.com,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,1060 Zeigler Road,4031,Wellsville,"-76.93767,40.050255",133,"1060 Zeigler Road, Wellsville, PA, 17365",969,Exact,Match,40.050255,-76.93767,"1060 ZEIGLER RD, WELLSVILLE, PA, 17365",L,PA,42,88720181,020320,17365
970,2017-2018,42,PENNSYLVANIA,PA,Northern El Sch,Northern York County SD,1,,PA-115674603,4217760,PA-115674603-4581,421776004581,4204581,657 S Baltimore St,,,Dillsburg,PA,17019,9690.0,657 S Baltimore St,,,Dillsburg,PA,17019,9690.0,(717)432-8691,http://www.northernpolarbears.com,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,657 S Baltimore St,3026,Dillsburg,"-77.03106,40.093353",133,"657 S Baltimore St, Dillsburg, PA, 17019",970,Exact,Match,40.093353,-77.03106,"657 S BALTIMORE ST, DILLSBURG, PA, 17019",R,PA,42,88717920,020420,17019
971,2017-2018,42,PENNSYLVANIA,PA,Avalon El Sch,Northgate SD,1,,PA-103026873,4217770,PA-103026873-0030,421777000030,4200030,721 California Ave,,,Pittsburgh,PA,15202,2520.0,721 California Ave,,,Pittsburgh,PA,15202,2520.0,(412)732-3300,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,KG,06,Elementary,As reported,721 California Ave,2006,Pittsburgh,"-80.06632,40.500435",003,"721 California Ave, Pittsburgh, PA, 15202",971,Exact,Match,40.500435,-80.06632,"721 CALIFORNIA AVE, PITTSBURGH, PA, 15202",L,PA,42,51619535,432300,15202
